sample_id,dataset_name,method,input_length,speculative_rounds,total_generated_tokens,total_accepted_draft_tokens,mean_accepted_length,full_accept_rounds,zero_accept_rounds,reference_static_mean,reference_best_static_mean,reference_oracle_b_mean,delta_vs_static,gap_to_oracle_b,fraction_of_oracle_b_gain_closed
2wikimqa-145,2wikimqa,page_incremental_r0.01,8192,8,64,57,7.125,7,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
2wikimqa-145,2wikimqa,page_incremental_r0.05,8192,8,64,57,7.125,7,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
2wikimqa-145,2wikimqa,page_incremental_r0.1,8192,8,64,57,7.125,7,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
2wikimqa-145,2wikimqa,page_incremental_r0.2,8192,8,64,57,7.125,7,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
2wikimqa-151,2wikimqa,page_incremental_r0.01,8192,8,64,57,7.125,6,0,6.222222222222222,5.5,7.125,0.9027777777777777,0.0,1.0
2wikimqa-151,2wikimqa,page_incremental_r0.05,8192,8,64,57,7.125,6,0,6.222222222222222,5.5,7.125,0.9027777777777777,0.0,1.0
2wikimqa-151,2wikimqa,page_incremental_r0.1,8192,8,64,57,7.125,6,0,6.222222222222222,5.5,7.125,0.9027777777777777,0.0,1.0
2wikimqa-151,2wikimqa,page_incremental_r0.2,8192,8,64,57,7.125,6,0,6.222222222222222,5.5,7.125,0.9027777777777777,0.0,1.0
2wikimqa-172,2wikimqa,page_incremental_r0.01,8192,8,64,57,7.125,5,0,5.5,6.222222222222222,6.222222222222222,1.625,-0.9027777777777777,2.2499999999999996
2wikimqa-172,2wikimqa,page_incremental_r0.05,8192,8,64,57,7.125,5,0,5.5,6.222222222222222,6.222222222222222,1.625,-0.9027777777777777,2.2499999999999996
2wikimqa-172,2wikimqa,page_incremental_r0.1,8192,8,64,57,7.125,5,0,5.5,6.222222222222222,6.222222222222222,1.625,-0.9027777777777777,2.2499999999999996
2wikimqa-172,2wikimqa,page_incremental_r0.2,8192,8,64,57,7.125,5,0,5.5,6.222222222222222,6.222222222222222,1.625,-0.9027777777777777,2.2499999999999996
2wikimqa-175,2wikimqa,page_incremental_r0.01,8192,8,64,57,7.125,7,0,4.0,5.5,7.125,3.125,0.0,1.0
2wikimqa-175,2wikimqa,page_incremental_r0.05,8192,8,64,57,7.125,7,0,4.0,5.5,7.125,3.125,0.0,1.0
2wikimqa-175,2wikimqa,page_incremental_r0.1,8192,8,64,57,7.125,6,0,4.0,5.5,7.125,3.125,0.0,1.0
2wikimqa-175,2wikimqa,page_incremental_r0.2,8192,8,64,57,7.125,7,0,4.0,5.5,7.125,3.125,0.0,1.0
2wikimqa-190,2wikimqa,page_incremental_r0.01,8192,8,64,57,7.125,6,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
2wikimqa-190,2wikimqa,page_incremental_r0.05,8192,8,64,57,7.125,6,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
2wikimqa-190,2wikimqa,page_incremental_r0.1,8192,8,64,57,7.125,6,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
2wikimqa-190,2wikimqa,page_incremental_r0.2,8192,8,64,57,7.125,7,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
2wikimqa-42,2wikimqa,page_incremental_r0.01,8192,8,64,57,7.125,7,0,4.909090909090909,5.5,6.222222222222222,2.215909090909091,-0.9027777777777777,1.6875
2wikimqa-42,2wikimqa,page_incremental_r0.05,8192,9,64,56,6.222222222222222,6,0,4.909090909090909,5.5,6.222222222222222,1.3131313131313131,0.0,1.0
2wikimqa-42,2wikimqa,page_incremental_r0.1,8192,8,64,57,7.125,7,0,4.909090909090909,5.5,6.222222222222222,2.215909090909091,-0.9027777777777777,1.6875
2wikimqa-42,2wikimqa,page_incremental_r0.2,8192,8,64,57,7.125,7,0,4.909090909090909,5.5,6.222222222222222,2.215909090909091,-0.9027777777777777,1.6875
2wikimqa-76,2wikimqa,page_incremental_r0.01,8192,8,64,57,7.125,6,0,6.222222222222222,6.222222222222222,7.125,0.9027777777777777,0.0,1.0
2wikimqa-76,2wikimqa,page_incremental_r0.05,8192,8,64,57,7.125,6,0,6.222222222222222,6.222222222222222,7.125,0.9027777777777777,0.0,1.0
2wikimqa-76,2wikimqa,page_incremental_r0.1,8192,8,64,57,7.125,6,0,6.222222222222222,6.222222222222222,7.125,0.9027777777777777,0.0,1.0
2wikimqa-76,2wikimqa,page_incremental_r0.2,8192,8,64,57,7.125,6,0,6.222222222222222,6.222222222222222,7.125,0.9027777777777777,0.0,1.0
2wikimqa-83,2wikimqa,page_incremental_r0.01,8192,9,64,56,6.222222222222222,5,0,4.909090909090909,6.222222222222222,7.125,1.3131313131313131,0.9027777777777777,0.5925925925925927
2wikimqa-83,2wikimqa,page_incremental_r0.05,8192,8,64,57,7.125,7,0,4.909090909090909,6.222222222222222,7.125,2.215909090909091,0.0,1.0
2wikimqa-83,2wikimqa,page_incremental_r0.1,8192,8,64,57,7.125,7,0,4.909090909090909,6.222222222222222,7.125,2.215909090909091,0.0,1.0
2wikimqa-83,2wikimqa,page_incremental_r0.2,8192,8,64,57,7.125,7,0,4.909090909090909,6.222222222222222,7.125,2.215909090909091,0.0,1.0
2wikimqa-87,2wikimqa,page_incremental_r0.01,8192,8,64,57,7.125,6,0,4.909090909090909,5.5,7.125,2.215909090909091,0.0,1.0
2wikimqa-87,2wikimqa,page_incremental_r0.05,8192,8,64,57,7.125,6,0,4.909090909090909,5.5,7.125,2.215909090909091,0.0,1.0
2wikimqa-87,2wikimqa,page_incremental_r0.1,8192,8,64,57,7.125,6,0,4.909090909090909,5.5,7.125,2.215909090909091,0.0,1.0
2wikimqa-87,2wikimqa,page_incremental_r0.2,8192,8,64,57,7.125,6,0,4.909090909090909,5.5,7.125,2.215909090909091,0.0,1.0
2wikimqa-88,2wikimqa,page_incremental_r0.01,8192,10,64,55,5.5,4,1,4.0,5.5,6.222222222222222,1.5,0.7222222222222223,0.6749999999999999
2wikimqa-88,2wikimqa,page_incremental_r0.05,8192,10,64,55,5.5,4,1,4.0,5.5,6.222222222222222,1.5,0.7222222222222223,0.6749999999999999
2wikimqa-88,2wikimqa,page_incremental_r0.1,8192,10,64,55,5.5,4,1,4.0,5.5,6.222222222222222,1.5,0.7222222222222223,0.6749999999999999
2wikimqa-88,2wikimqa,page_incremental_r0.2,8192,10,64,55,5.5,5,1,4.0,5.5,6.222222222222222,1.5,0.7222222222222223,0.6749999999999999
hotpotqa-112,hotpotqa,page_incremental_r0.01,8192,9,64,56,6.222222222222222,5,1,5.5,5.5,6.222222222222222,0.7222222222222223,0.0,1.0
hotpotqa-112,hotpotqa,page_incremental_r0.05,8192,9,64,56,6.222222222222222,5,1,5.5,5.5,6.222222222222222,0.7222222222222223,0.0,1.0
hotpotqa-112,hotpotqa,page_incremental_r0.1,8192,9,64,56,6.222222222222222,5,1,5.5,5.5,6.222222222222222,0.7222222222222223,0.0,1.0
hotpotqa-112,hotpotqa,page_incremental_r0.2,8192,8,64,57,7.125,5,0,5.5,5.5,6.222222222222222,1.625,-0.9027777777777777,2.2499999999999996
hotpotqa-116,hotpotqa,page_incremental_r0.01,8192,12,64,52,4.333333333333333,2,1,3.0625,4.0,4.909090909090909,1.270833333333333,0.5757575757575761,0.688205128205128
hotpotqa-116,hotpotqa,page_incremental_r0.05,8192,12,64,53,4.416666666666667,3,1,3.0625,4.0,4.909090909090909,1.354166666666667,0.4924242424242422,0.7333333333333335
hotpotqa-116,hotpotqa,page_incremental_r0.1,8192,11,64,54,4.909090909090909,4,1,3.0625,4.0,4.909090909090909,1.8465909090909092,0.0,1.0
hotpotqa-116,hotpotqa,page_incremental_r0.2,8192,10,64,55,5.5,3,0,3.0625,4.0,4.909090909090909,2.4375,-0.5909090909090908,1.3199999999999998
hotpotqa-123,hotpotqa,page_incremental_r0.01,8192,10,64,55,5.5,6,2,4.0,5.5,7.0,1.5,1.5,0.5
hotpotqa-123,hotpotqa,page_incremental_r0.05,8192,10,64,55,5.5,5,1,4.0,5.5,7.0,1.5,1.5,0.5
hotpotqa-123,hotpotqa,page_incremental_r0.1,8192,11,64,54,4.909090909090909,5,2,4.0,5.5,7.0,0.9090909090909092,2.090909090909091,0.30303030303030304
hotpotqa-123,hotpotqa,page_incremental_r0.2,8192,10,64,55,5.5,6,2,4.0,5.5,7.0,1.5,1.5,0.5
hotpotqa-141,hotpotqa,page_incremental_r0.01,8192,9,64,56,6.222222222222222,5,0,4.909090909090909,5.5,7.0,1.3131313131313131,0.7777777777777777,0.6280193236714976
hotpotqa-141,hotpotqa,page_incremental_r0.05,8192,8,64,56,7,7,1,4.909090909090909,5.5,7.0,2.090909090909091,0.0,1.0
hotpotqa-141,hotpotqa,page_incremental_r0.1,8192,8,64,56,7,7,1,4.909090909090909,5.5,7.0,2.090909090909091,0.0,1.0
hotpotqa-141,hotpotqa,page_incremental_r0.2,8192,8,64,56,7,7,1,4.909090909090909,5.5,7.0,2.090909090909091,0.0,1.0
hotpotqa-151,hotpotqa,page_incremental_r0.01,8192,8,64,57,7.125,7,0,6.222222222222222,6.222222222222222,7.125,0.9027777777777777,0.0,1.0
hotpotqa-151,hotpotqa,page_incremental_r0.05,8192,8,64,57,7.125,7,0,6.222222222222222,6.222222222222222,7.125,0.9027777777777777,0.0,1.0
hotpotqa-151,hotpotqa,page_incremental_r0.1,8192,8,64,57,7.125,6,0,6.222222222222222,6.222222222222222,7.125,0.9027777777777777,0.0,1.0
hotpotqa-151,hotpotqa,page_incremental_r0.2,8192,8,64,57,7.125,7,0,6.222222222222222,6.222222222222222,7.125,0.9027777777777777,0.0,1.0
hotpotqa-186,hotpotqa,page_incremental_r0.01,8192,9,64,55,6.111111111111111,5,1,5.5,5.4,6.111111111111111,0.6111111111111107,0.0,1.0
hotpotqa-186,hotpotqa,page_incremental_r0.05,8192,8,64,56,7,7,1,5.5,5.4,6.111111111111111,1.5,-0.8888888888888893,2.454545454545456
hotpotqa-186,hotpotqa,page_incremental_r0.1,8192,8,64,56,7,7,1,5.5,5.4,6.111111111111111,1.5,-0.8888888888888893,2.454545454545456
hotpotqa-186,hotpotqa,page_incremental_r0.2,8192,9,64,56,6.222222222222222,6,1,5.5,5.4,6.111111111111111,0.7222222222222223,-0.1111111111111116,1.1818181818181828
hotpotqa-188,hotpotqa,page_incremental_r0.01,8192,8,64,56,7,6,0,5.4,6.222222222222222,7.125,1.5999999999999996,0.125,0.927536231884058
hotpotqa-188,hotpotqa,page_incremental_r0.05,8192,8,64,56,7,6,0,5.4,6.222222222222222,7.125,1.5999999999999996,0.125,0.927536231884058
hotpotqa-188,hotpotqa,page_incremental_r0.1,8192,8,64,57,7.125,6,0,5.4,6.222222222222222,7.125,1.7249999999999996,0.0,1.0
hotpotqa-188,hotpotqa,page_incremental_r0.2,8192,8,64,57,7.125,6,0,5.4,6.222222222222222,7.125,1.7249999999999996,0.0,1.0
hotpotqa-63,hotpotqa,page_incremental_r0.01,8192,9,64,56,6.222222222222222,4,0,4.0,4.909090909090909,6.222222222222222,2.2222222222222223,0.0,1.0
hotpotqa-63,hotpotqa,page_incremental_r0.05,8192,9,64,56,6.222222222222222,5,0,4.0,4.909090909090909,6.222222222222222,2.2222222222222223,0.0,1.0
hotpotqa-63,hotpotqa,page_incremental_r0.1,8192,9,64,56,6.222222222222222,5,0,4.0,4.909090909090909,6.222222222222222,2.2222222222222223,0.0,1.0
hotpotqa-63,hotpotqa,page_incremental_r0.2,8192,9,64,56,6.222222222222222,5,0,4.0,4.909090909090909,6.222222222222222,2.2222222222222223,0.0,1.0
hotpotqa-93,hotpotqa,page_incremental_r0.01,8192,8,64,57,7.125,6,0,6.111111111111111,6.222222222222222,7.125,1.0138888888888893,0.0,1.0
hotpotqa-93,hotpotqa,page_incremental_r0.05,8192,8,64,57,7.125,6,0,6.111111111111111,6.222222222222222,7.125,1.0138888888888893,0.0,1.0
hotpotqa-93,hotpotqa,page_incremental_r0.1,8192,8,64,57,7.125,6,0,6.111111111111111,6.222222222222222,7.125,1.0138888888888893,0.0,1.0
hotpotqa-93,hotpotqa,page_incremental_r0.2,8192,8,64,57,7.125,6,0,6.111111111111111,6.222222222222222,7.125,1.0138888888888893,0.0,1.0
hotpotqa-96,hotpotqa,page_incremental_r0.01,8192,8,64,57,7.125,6,0,4.416666666666667,5.5,6.222222222222222,2.708333333333333,-0.9027777777777777,1.5
hotpotqa-96,hotpotqa,page_incremental_r0.05,8192,9,64,56,6.222222222222222,5,0,4.416666666666667,5.5,6.222222222222222,1.8055555555555554,0.0,1.0
hotpotqa-96,hotpotqa,page_incremental_r0.1,8192,9,64,56,6.222222222222222,5,0,4.416666666666667,5.5,6.222222222222222,1.8055555555555554,0.0,1.0
hotpotqa-96,hotpotqa,page_incremental_r0.2,8192,9,64,56,6.222222222222222,5,0,4.416666666666667,5.5,6.222222222222222,1.8055555555555554,0.0,1.0
multifieldqa_en-11,multifieldqa_en,page_incremental_r0.01,8192,10,64,55,5.5,3,0,4.416666666666667,5.5,5.5,1.083333333333333,0.0,1.0
multifieldqa_en-11,multifieldqa_en,page_incremental_r0.05,8192,13,64,52,4,3,1,4.416666666666667,5.5,5.5,-0.41666666666666696,1.5,-0.38461538461538497
multifieldqa_en-11,multifieldqa_en,page_incremental_r0.1,8192,13,64,52,4,3,1,4.416666666666667,5.5,5.5,-0.41666666666666696,1.5,-0.38461538461538497
multifieldqa_en-11,multifieldqa_en,page_incremental_r0.2,8192,11,64,54,4.909090909090909,4,1,4.416666666666667,5.5,5.5,0.4924242424242422,0.5909090909090908,0.4545454545454545
multifieldqa_en-114,multifieldqa_en,page_incremental_r0.01,8192,10,64,55,5.5,4,0,4.0,4.416666666666667,5.5,1.5,0.0,1.0
multifieldqa_en-114,multifieldqa_en,page_incremental_r0.05,8192,10,64,55,5.5,5,0,4.0,4.416666666666667,5.5,1.5,0.0,1.0
multifieldqa_en-114,multifieldqa_en,page_incremental_r0.1,8192,10,64,55,5.5,5,0,4.0,4.416666666666667,5.5,1.5,0.0,1.0
multifieldqa_en-114,multifieldqa_en,page_incremental_r0.2,8192,10,64,55,5.5,5,0,4.0,4.416666666666667,5.5,1.5,0.0,1.0
multifieldqa_en-125,multifieldqa_en,page_incremental_r0.01,8192,8,64,57,7.125,7,0,6.222222222222222,5.5,7.125,0.9027777777777777,0.0,1.0
multifieldqa_en-125,multifieldqa_en,page_incremental_r0.05,8192,8,64,57,7.125,7,0,6.222222222222222,5.5,7.125,0.9027777777777777,0.0,1.0
multifieldqa_en-125,multifieldqa_en,page_incremental_r0.1,8192,8,64,57,7.125,7,0,6.222222222222222,5.5,7.125,0.9027777777777777,0.0,1.0
multifieldqa_en-125,multifieldqa_en,page_incremental_r0.2,8192,8,64,57,7.125,7,0,6.222222222222222,5.5,7.125,0.9027777777777777,0.0,1.0
multifieldqa_en-18,multifieldqa_en,page_incremental_r0.01,8192,8,64,57,7.125,4,0,4.0,6.222222222222222,6.222222222222222,3.125,-0.9027777777777777,1.40625
multifieldqa_en-18,multifieldqa_en,page_incremental_r0.05,8192,8,64,57,7.125,6,0,4.0,6.222222222222222,6.222222222222222,3.125,-0.9027777777777777,1.40625
multifieldqa_en-18,multifieldqa_en,page_incremental_r0.1,8192,9,64,56,6.222222222222222,5,0,4.0,6.222222222222222,6.222222222222222,2.2222222222222223,0.0,1.0
multifieldqa_en-18,multifieldqa_en,page_incremental_r0.2,8192,9,64,56,6.222222222222222,5,0,4.0,6.222222222222222,6.222222222222222,2.2222222222222223,0.0,1.0
multifieldqa_en-27,multifieldqa_en,page_incremental_r0.01,8192,12,64,52,4.333333333333333,3,2,3.642857142857143,4.818181818181818,7.0,0.6904761904761902,2.666666666666667,0.20567375886524816
multifieldqa_en-27,multifieldqa_en,page_incremental_r0.05,8192,12,64,52,4.333333333333333,3,2,3.642857142857143,4.818181818181818,7.0,0.6904761904761902,2.666666666666667,0.20567375886524816
multifieldqa_en-27,multifieldqa_en,page_incremental_r0.1,8192,10,64,54,5.4,5,1,3.642857142857143,4.818181818181818,7.0,1.7571428571428576,1.5999999999999996,0.523404255319149
