sample_id,dataset_name,method,input_length,speculative_rounds,total_generated_tokens,total_accepted_draft_tokens,mean_accepted_length,full_accept_rounds,zero_accept_rounds,reference_static_mean,reference_best_static_mean,reference_oracle_b_mean,delta_vs_static,gap_to_oracle_b,fraction_of_oracle_b_gain_closed
multifieldqa_en-27,multifieldqa_en,page_incremental_r0.2,8192,9,64,55,6.111111111111111,5,1,3.642857142857143,4.818181818181818,7.0,2.468253968253968,0.8888888888888893,0.7352245862884159
multifieldqa_en-37,multifieldqa_en,page_incremental_r0.01,8192,10,64,55,5.5,5,0,4.0,4.416666666666667,6.222222222222222,1.5,0.7222222222222223,0.6749999999999999
multifieldqa_en-37,multifieldqa_en,page_incremental_r0.05,8192,9,64,56,6.222222222222222,5,0,4.0,4.416666666666667,6.222222222222222,2.2222222222222223,0.0,1.0
multifieldqa_en-37,multifieldqa_en,page_incremental_r0.1,8192,10,64,55,5.5,4,0,4.0,4.416666666666667,6.222222222222222,1.5,0.7222222222222223,0.6749999999999999
multifieldqa_en-37,multifieldqa_en,page_incremental_r0.2,8192,10,64,55,5.5,4,0,4.0,4.416666666666667,6.222222222222222,1.5,0.7222222222222223,0.6749999999999999
multifieldqa_en-51,multifieldqa_en,page_incremental_r0.01,8192,8,64,57,7.125,5,0,6.222222222222222,6.222222222222222,7.125,0.9027777777777777,0.0,1.0
multifieldqa_en-51,multifieldqa_en,page_incremental_r0.05,8192,8,64,57,7.125,5,0,6.222222222222222,6.222222222222222,7.125,0.9027777777777777,0.0,1.0
multifieldqa_en-51,multifieldqa_en,page_incremental_r0.1,8192,8,64,57,7.125,6,0,6.222222222222222,6.222222222222222,7.125,0.9027777777777777,0.0,1.0
multifieldqa_en-51,multifieldqa_en,page_incremental_r0.2,8192,8,64,57,7.125,6,0,6.222222222222222,6.222222222222222,7.125,0.9027777777777777,0.0,1.0
multifieldqa_en-52,multifieldqa_en,page_incremental_r0.01,8192,8,64,57,7.125,5,0,6.222222222222222,4.909090909090909,6.222222222222222,0.9027777777777777,-0.9027777777777777,0.0
multifieldqa_en-52,multifieldqa_en,page_incremental_r0.05,8192,8,64,57,7.125,5,0,6.222222222222222,4.909090909090909,6.222222222222222,0.9027777777777777,-0.9027777777777777,0.0
multifieldqa_en-52,multifieldqa_en,page_incremental_r0.1,8192,8,64,57,7.125,5,0,6.222222222222222,4.909090909090909,6.222222222222222,0.9027777777777777,-0.9027777777777777,0.0
multifieldqa_en-52,multifieldqa_en,page_incremental_r0.2,8192,9,64,56,6.222222222222222,4,0,6.222222222222222,4.909090909090909,6.222222222222222,0.0,0.0,0.0
multifieldqa_en-67,multifieldqa_en,page_incremental_r0.01,8192,12,64,53,4.416666666666667,4,1,3.3333333333333335,4.0,4.909090909090909,1.0833333333333335,0.4924242424242422,0.6875000000000001
multifieldqa_en-67,multifieldqa_en,page_incremental_r0.05,8192,12,64,53,4.416666666666667,4,1,3.3333333333333335,4.0,4.909090909090909,1.0833333333333335,0.4924242424242422,0.6875000000000001
multifieldqa_en-67,multifieldqa_en,page_incremental_r0.1,8192,12,64,53,4.416666666666667,4,1,3.3333333333333335,4.0,4.909090909090909,1.0833333333333335,0.4924242424242422,0.6875000000000001
multifieldqa_en-67,multifieldqa_en,page_incremental_r0.2,8192,12,64,53,4.416666666666667,4,1,3.3333333333333335,4.0,4.909090909090909,1.0833333333333335,0.4924242424242422,0.6875000000000001
multifieldqa_en-99,multifieldqa_en,page_incremental_r0.01,8192,9,64,56,6.222222222222222,5,1,5.5,5.5,6.222222222222222,0.7222222222222223,0.0,1.0
multifieldqa_en-99,multifieldqa_en,page_incremental_r0.05,8192,9,64,56,6.222222222222222,6,0,5.5,5.5,6.222222222222222,0.7222222222222223,0.0,1.0
multifieldqa_en-99,multifieldqa_en,page_incremental_r0.1,8192,9,64,56,6.222222222222222,5,0,5.5,5.5,6.222222222222222,0.7222222222222223,0.0,1.0
multifieldqa_en-99,multifieldqa_en,page_incremental_r0.2,8192,9,64,56,6.222222222222222,6,0,5.5,5.5,6.222222222222222,0.7222222222222223,0.0,1.0
musique-100,musique,page_incremental_r0.01,8192,10,64,55,5.5,4,0,4.909090909090909,4.909090909090909,7.0,0.5909090909090908,1.5,0.2826086956521739
musique-100,musique,page_incremental_r0.05,8192,9,64,56,6.222222222222222,5,0,4.909090909090909,4.909090909090909,7.0,1.3131313131313131,0.7777777777777777,0.6280193236714976
musique-100,musique,page_incremental_r0.1,8192,8,64,56,7,6,0,4.909090909090909,4.909090909090909,7.0,2.090909090909091,0.0,1.0
musique-100,musique,page_incremental_r0.2,8192,9,64,56,6.222222222222222,5,0,4.909090909090909,4.909090909090909,7.0,1.3131313131313131,0.7777777777777777,0.6280193236714976
musique-148,musique,page_incremental_r0.01,8192,9,64,55,6.111111111111111,5,1,4.818181818181818,5.4,6.111111111111111,1.2929292929292924,0.0,1.0
musique-148,musique,page_incremental_r0.05,8192,8,64,56,7,5,0,4.818181818181818,5.4,6.111111111111111,2.1818181818181817,-0.8888888888888893,1.6875000000000007
musique-148,musique,page_incremental_r0.1,8192,9,64,55,6.111111111111111,6,1,4.818181818181818,5.4,6.111111111111111,1.2929292929292924,0.0,1.0
musique-148,musique,page_incremental_r0.2,8192,9,64,55,6.111111111111111,6,1,4.818181818181818,5.4,6.111111111111111,1.2929292929292924,0.0,1.0
musique-163,musique,page_incremental_r0.01,8192,8,64,57,7.125,6,0,5.5,5.5,7.125,1.625,0.0,1.0
musique-163,musique,page_incremental_r0.05,8192,8,64,57,7.125,6,0,5.5,5.5,7.125,1.625,0.0,1.0
musique-163,musique,page_incremental_r0.1,8192,8,64,57,7.125,6,0,5.5,5.5,7.125,1.625,0.0,1.0
musique-163,musique,page_incremental_r0.2,8192,8,64,57,7.125,6,0,5.5,5.5,7.125,1.625,0.0,1.0
musique-194,musique,page_incremental_r0.01,8192,9,64,55,6.111111111111111,4,0,5.4,5.4,6.111111111111111,0.7111111111111104,0.0,1.0
musique-194,musique,page_incremental_r0.05,8192,9,64,55,6.111111111111111,4,0,5.4,5.4,6.111111111111111,0.7111111111111104,0.0,1.0
musique-194,musique,page_incremental_r0.1,8192,9,64,55,6.111111111111111,4,0,5.4,5.4,6.111111111111111,0.7111111111111104,0.0,1.0
musique-194,musique,page_incremental_r0.2,8192,9,64,55,6.111111111111111,4,0,5.4,5.4,6.111111111111111,0.7111111111111104,0.0,1.0
musique-23,musique,page_incremental_r0.01,8192,9,64,55,6.111111111111111,5,1,4.0,4.909090909090909,6.222222222222222,2.1111111111111107,0.1111111111111116,0.9499999999999997
musique-23,musique,page_incremental_r0.05,8192,9,64,55,6.111111111111111,5,1,4.0,4.909090909090909,6.222222222222222,2.1111111111111107,0.1111111111111116,0.9499999999999997
musique-23,musique,page_incremental_r0.1,8192,9,64,55,6.111111111111111,5,1,4.0,4.909090909090909,6.222222222222222,2.1111111111111107,0.1111111111111116,0.9499999999999997
musique-23,musique,page_incremental_r0.2,8192,9,64,55,6.111111111111111,5,1,4.0,4.909090909090909,6.222222222222222,2.1111111111111107,0.1111111111111116,0.9499999999999997
musique-24,musique,page_incremental_r0.01,8192,11,64,54,4.909090909090909,3,1,4.0,4.909090909090909,7.125,0.9090909090909092,2.215909090909091,0.29090909090909095
musique-24,musique,page_incremental_r0.05,8192,10,64,55,5.5,4,1,4.0,4.909090909090909,7.125,1.5,1.625,0.48
musique-24,musique,page_incremental_r0.1,8192,9,64,56,6.222222222222222,5,0,4.0,4.909090909090909,7.125,2.2222222222222223,0.9027777777777777,0.7111111111111111
musique-24,musique,page_incremental_r0.2,8192,8,64,57,7.125,6,0,4.0,4.909090909090909,7.125,3.125,0.0,1.0
musique-41,musique,page_incremental_r0.01,8192,8,64,57,7.125,5,0,4.909090909090909,5.5,7.125,2.215909090909091,0.0,1.0
musique-41,musique,page_incremental_r0.05,8192,8,64,57,7.125,6,0,4.909090909090909,5.5,7.125,2.215909090909091,0.0,1.0
musique-41,musique,page_incremental_r0.1,8192,8,64,57,7.125,6,0,4.909090909090909,5.5,7.125,2.215909090909091,0.0,1.0
musique-41,musique,page_incremental_r0.2,8192,8,64,57,7.125,6,0,4.909090909090909,5.5,7.125,2.215909090909091,0.0,1.0
musique-74,musique,page_incremental_r0.01,8192,8,64,57,7.125,6,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
musique-74,musique,page_incremental_r0.05,8192,8,64,57,7.125,7,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
musique-74,musique,page_incremental_r0.1,8192,8,64,57,7.125,7,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
musique-74,musique,page_incremental_r0.2,8192,8,64,57,7.125,7,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
musique-76,musique,page_incremental_r0.01,8192,10,64,55,5.5,4,1,4.909090909090909,4.416666666666667,6.222222222222222,0.5909090909090908,0.7222222222222223,0.44999999999999996
musique-76,musique,page_incremental_r0.05,8192,9,64,56,6.222222222222222,4,1,4.909090909090909,4.416666666666667,6.222222222222222,1.3131313131313131,0.0,1.0
musique-76,musique,page_incremental_r0.1,8192,9,64,56,6.222222222222222,4,1,4.909090909090909,4.416666666666667,6.222222222222222,1.3131313131313131,0.0,1.0
musique-76,musique,page_incremental_r0.2,8192,9,64,56,6.222222222222222,5,1,4.909090909090909,4.416666666666667,6.222222222222222,1.3131313131313131,0.0,1.0
musique-85,musique,page_incremental_r0.01,8192,8,64,57,7.125,7,0,4.909090909090909,6.222222222222222,7.125,2.215909090909091,0.0,1.0
musique-85,musique,page_incremental_r0.05,8192,8,64,57,7.125,6,0,4.909090909090909,6.222222222222222,7.125,2.215909090909091,0.0,1.0
musique-85,musique,page_incremental_r0.1,8192,8,64,57,7.125,7,0,4.909090909090909,6.222222222222222,7.125,2.215909090909091,0.0,1.0
musique-85,musique,page_incremental_r0.2,8192,9,64,56,6.222222222222222,6,0,4.909090909090909,6.222222222222222,7.125,1.3131313131313131,0.9027777777777777,0.5925925925925927
qasper-118,qasper,page_incremental_r0.01,8192,9,64,56,6.222222222222222,6,0,4.0,6.222222222222222,7.125,2.2222222222222223,0.9027777777777777,0.7111111111111111
qasper-118,qasper,page_incremental_r0.05,8192,9,64,56,6.222222222222222,6,0,4.0,6.222222222222222,7.125,2.2222222222222223,0.9027777777777777,0.7111111111111111
qasper-118,qasper,page_incremental_r0.1,8192,8,64,57,7.125,6,0,4.0,6.222222222222222,7.125,3.125,0.0,1.0
qasper-118,qasper,page_incremental_r0.2,8192,8,64,57,7.125,6,0,4.0,6.222222222222222,7.125,3.125,0.0,1.0
qasper-13,qasper,page_incremental_r0.01,8192,8,64,57,7.125,7,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
qasper-13,qasper,page_incremental_r0.05,8192,8,64,57,7.125,7,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
qasper-13,qasper,page_incremental_r0.1,8192,8,64,57,7.125,7,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
qasper-13,qasper,page_incremental_r0.2,8192,8,64,57,7.125,7,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
qasper-15,qasper,page_incremental_r0.01,8192,9,64,56,6.222222222222222,4,0,4.416666666666667,5.5,6.222222222222222,1.8055555555555554,0.0,1.0
qasper-15,qasper,page_incremental_r0.05,8192,9,64,56,6.222222222222222,5,0,4.416666666666667,5.5,6.222222222222222,1.8055555555555554,0.0,1.0
qasper-15,qasper,page_incremental_r0.1,8192,9,64,56,6.222222222222222,4,0,4.416666666666667,5.5,6.222222222222222,1.8055555555555554,0.0,1.0
qasper-15,qasper,page_incremental_r0.2,8192,9,64,56,6.222222222222222,5,0,4.416666666666667,5.5,6.222222222222222,1.8055555555555554,0.0,1.0
qasper-16,qasper,page_incremental_r0.01,8192,8,64,57,7.125,5,0,4.416666666666667,4.416666666666667,7.125,2.708333333333333,0.0,1.0
qasper-16,qasper,page_incremental_r0.05,8192,8,64,57,7.125,5,0,4.416666666666667,4.416666666666667,7.125,2.708333333333333,0.0,1.0
qasper-16,qasper,page_incremental_r0.1,8192,8,64,57,7.125,4,0,4.416666666666667,4.416666666666667,7.125,2.708333333333333,0.0,1.0
qasper-16,qasper,page_incremental_r0.2,8192,8,64,57,7.125,5,0,4.416666666666667,4.416666666666667,7.125,2.708333333333333,0.0,1.0
qasper-178,qasper,page_incremental_r0.01,8192,13,64,52,4,5,4,3.3333333333333335,5.5,5.5,0.6666666666666665,1.5,0.30769230769230765
qasper-178,qasper,page_incremental_r0.05,8192,13,64,52,4,5,4,3.3333333333333335,5.5,5.5,0.6666666666666665,1.5,0.30769230769230765
qasper-178,qasper,page_incremental_r0.1,8192,14,64,51,3.642857142857143,5,4,3.3333333333333335,5.5,5.5,0.3095238095238093,1.8571428571428572,0.14285714285714277
qasper-178,qasper,page_incremental_r0.2,8192,13,64,52,4,5,4,3.3333333333333335,5.5,5.5,0.6666666666666665,1.5,0.30769230769230765
qasper-27,qasper,page_incremental_r0.01,8192,8,64,56,7,5,0,4.416666666666667,5.4,6.222222222222222,2.583333333333333,-0.7777777777777777,1.4307692307692308
qasper-27,qasper,page_incremental_r0.05,8192,8,64,56,7,6,0,4.416666666666667,5.4,6.222222222222222,2.583333333333333,-0.7777777777777777,1.4307692307692308
qasper-27,qasper,page_incremental_r0.1,8192,8,64,56,7,6,0,4.416666666666667,5.4,6.222222222222222,2.583333333333333,-0.7777777777777777,1.4307692307692308
qasper-27,qasper,page_incremental_r0.2,8192,8,64,56,7,6,0,4.416666666666667,5.4,6.222222222222222,2.583333333333333,-0.7777777777777777,1.4307692307692308
qasper-35,qasper,page_incremental_r0.01,8192,8,64,57,7.125,5,0,5.5,5.5,6.222222222222222,1.625,-0.9027777777777777,2.2499999999999996
qasper-35,qasper,page_incremental_r0.05,8192,8,64,57,7.125,5,0,5.5,5.5,6.222222222222222,1.625,-0.9027777777777777,2.2499999999999996
qasper-35,qasper,page_incremental_r0.1,8192,9,64,56,6.222222222222222,5,0,5.5,5.5,6.222222222222222,0.7222222222222223,0.0,1.0
qasper-35,qasper,page_incremental_r0.2,8192,8,64,57,7.125,6,0,5.5,5.5,6.222222222222222,1.625,-0.9027777777777777,2.2499999999999996
qasper-57,qasper,page_incremental_r0.01,8192,8,64,57,7.125,5,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
qasper-57,qasper,page_incremental_r0.05,8192,8,64,57,7.125,6,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
qasper-57,qasper,page_incremental_r0.1,8192,8,64,57,7.125,6,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
qasper-57,qasper,page_incremental_r0.2,8192,8,64,57,7.125,5,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
qasper-67,qasper,page_incremental_r0.01,8192,8,64,57,7.125,6,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
qasper-67,qasper,page_incremental_r0.05,8192,8,64,57,7.125,6,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
qasper-67,qasper,page_incremental_r0.1,8192,8,64,57,7.125,6,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
qasper-67,qasper,page_incremental_r0.2,8192,8,64,57,7.125,6,0,5.5,6.222222222222222,7.125,1.625,0.0,1.0
qasper-73,qasper,page_incremental_r0.01,8192,8,64,57,7.125,7,0,4.909090909090909,5.5,7.125,2.215909090909091,0.0,1.0
qasper-73,qasper,page_incremental_r0.05,8192,8,64,57,7.125,7,0,4.909090909090909,5.5,7.125,2.215909090909091,0.0,1.0
qasper-73,qasper,page_incremental_r0.1,8192,8,64,57,7.125,7,0,4.909090909090909,5.5,7.125,2.215909090909091,0.0,1.0
qasper-73,qasper,page_incremental_r0.2,8192,8,64,57,7.125,7,0,4.909090909090909,5.5,7.125,2.215909090909091,0.0,1.0
