sample_id,dataset_name,method,input_length,rounds,generated_tokens,mean_accepted_length,full_acceptance_rate,zero_acceptance_rate,delta_vs_static,oracle_b_gain_recovery
2wikimqa-145,2wikimqa,oracle_incremental_r0.01,8192,8,64,7.125,0.875,0.0,,
2wikimqa-145,2wikimqa,oracle_incremental_r0.02,8192,8,64,7.125,0.875,0.0,,
2wikimqa-145,2wikimqa,oracle_incremental_r0.05,8192,8,64,7.125,0.875,0.0,,
2wikimqa-145,2wikimqa,oracle_incremental_r0.1,8192,8,64,7.125,0.875,0.0,,
2wikimqa-145,2wikimqa,oracle_incremental_r0.2,8192,8,64,7.125,0.875,0.0,,
2wikimqa-151,2wikimqa,oracle_incremental_r0.01,8192,8,64,7.125,0.875,0.0,,
2wikimqa-151,2wikimqa,oracle_incremental_r0.02,8192,8,64,7.125,0.875,0.0,,
2wikimqa-151,2wikimqa,oracle_incremental_r0.05,8192,8,64,7.125,0.875,0.0,,
2wikimqa-151,2wikimqa,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
2wikimqa-151,2wikimqa,oracle_incremental_r0.2,8192,8,64,7.125,0.875,0.0,,
2wikimqa-172,2wikimqa,oracle_incremental_r0.01,8192,8,64,7.125,0.625,0.0,,
2wikimqa-172,2wikimqa,oracle_incremental_r0.02,8192,8,64,7.125,0.625,0.0,,
2wikimqa-172,2wikimqa,oracle_incremental_r0.05,8192,8,64,7.125,0.625,0.0,,
2wikimqa-172,2wikimqa,oracle_incremental_r0.1,8192,8,64,7.125,0.625,0.0,,
2wikimqa-172,2wikimqa,oracle_incremental_r0.2,8192,8,64,7.125,0.625,0.0,,
2wikimqa-175,2wikimqa,oracle_incremental_r0.01,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
2wikimqa-175,2wikimqa,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
2wikimqa-175,2wikimqa,oracle_incremental_r0.05,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
2wikimqa-175,2wikimqa,oracle_incremental_r0.1,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
2wikimqa-175,2wikimqa,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
2wikimqa-190,2wikimqa,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
2wikimqa-190,2wikimqa,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
2wikimqa-190,2wikimqa,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
2wikimqa-190,2wikimqa,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
2wikimqa-190,2wikimqa,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
2wikimqa-42,2wikimqa,oracle_incremental_r0.01,8192,8,64,7.125,0.875,0.0,,
2wikimqa-42,2wikimqa,oracle_incremental_r0.02,8192,8,64,7.125,0.875,0.0,,
2wikimqa-42,2wikimqa,oracle_incremental_r0.05,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
2wikimqa-42,2wikimqa,oracle_incremental_r0.1,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
2wikimqa-42,2wikimqa,oracle_incremental_r0.2,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
2wikimqa-76,2wikimqa,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
2wikimqa-76,2wikimqa,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
2wikimqa-76,2wikimqa,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
2wikimqa-76,2wikimqa,oracle_incremental_r0.1,8192,8,64,7.125,0.875,0.0,,
2wikimqa-76,2wikimqa,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
2wikimqa-83,2wikimqa,oracle_incremental_r0.01,8192,8,64,7.125,0.875,0.0,,
2wikimqa-83,2wikimqa,oracle_incremental_r0.02,8192,8,64,7.125,0.875,0.0,,
2wikimqa-83,2wikimqa,oracle_incremental_r0.05,8192,8,64,7.125,0.875,0.0,,
2wikimqa-83,2wikimqa,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
2wikimqa-83,2wikimqa,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
2wikimqa-87,2wikimqa,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
2wikimqa-87,2wikimqa,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
2wikimqa-87,2wikimqa,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
2wikimqa-87,2wikimqa,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
2wikimqa-87,2wikimqa,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
2wikimqa-88,2wikimqa,oracle_incremental_r0.01,8192,8,64,7.125,0.625,0.0,,
2wikimqa-88,2wikimqa,oracle_incremental_r0.02,8192,8,64,7.125,0.625,0.0,,
2wikimqa-88,2wikimqa,oracle_incremental_r0.05,8192,8,64,7.125,0.625,0.0,,
2wikimqa-88,2wikimqa,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
2wikimqa-88,2wikimqa,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
hotpotqa-112,hotpotqa,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
hotpotqa-112,hotpotqa,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
hotpotqa-112,hotpotqa,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
hotpotqa-112,hotpotqa,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
hotpotqa-112,hotpotqa,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
hotpotqa-116,hotpotqa,oracle_incremental_r0.01,8192,11,64,4.909090909090909,0.45454545454545453,0.09090909090909091,,
hotpotqa-116,hotpotqa,oracle_incremental_r0.02,8192,11,64,4.909090909090909,0.36363636363636365,0.0,,
hotpotqa-116,hotpotqa,oracle_incremental_r0.05,8192,11,64,4.909090909090909,0.2727272727272727,0.0,,
hotpotqa-116,hotpotqa,oracle_incremental_r0.1,8192,9,64,6.222222222222222,0.5555555555555556,0.0,,
hotpotqa-116,hotpotqa,oracle_incremental_r0.2,8192,9,64,6.222222222222222,0.5555555555555556,0.0,,
hotpotqa-123,hotpotqa,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
hotpotqa-123,hotpotqa,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.6666666666666666,0.1111111111111111,,
hotpotqa-123,hotpotqa,oracle_incremental_r0.05,8192,9,64,6.222222222222222,0.6666666666666666,0.1111111111111111,,
hotpotqa-123,hotpotqa,oracle_incremental_r0.1,8192,9,64,6.222222222222222,0.6666666666666666,0.1111111111111111,,
hotpotqa-123,hotpotqa,oracle_incremental_r0.2,8192,9,64,6.222222222222222,0.6666666666666666,0.1111111111111111,,
hotpotqa-141,hotpotqa,oracle_incremental_r0.01,8192,8,64,7,0.875,0.125,,
hotpotqa-141,hotpotqa,oracle_incremental_r0.02,8192,8,64,7,0.875,0.125,,
hotpotqa-141,hotpotqa,oracle_incremental_r0.05,8192,8,64,7,0.875,0.125,,
hotpotqa-141,hotpotqa,oracle_incremental_r0.1,8192,8,64,7,0.875,0.125,,
hotpotqa-141,hotpotqa,oracle_incremental_r0.2,8192,8,64,7,0.875,0.125,,
hotpotqa-151,hotpotqa,oracle_incremental_r0.01,8192,8,64,7.125,0.875,0.0,,
hotpotqa-151,hotpotqa,oracle_incremental_r0.02,8192,8,64,7.125,0.875,0.0,,
hotpotqa-151,hotpotqa,oracle_incremental_r0.05,8192,8,64,7.125,0.875,0.0,,
hotpotqa-151,hotpotqa,oracle_incremental_r0.1,8192,8,64,7.125,0.875,0.0,,
hotpotqa-151,hotpotqa,oracle_incremental_r0.2,8192,8,64,7.125,0.875,0.0,,
hotpotqa-186,hotpotqa,oracle_incremental_r0.01,8192,9,64,6.222222222222222,0.6666666666666666,0.1111111111111111,,
hotpotqa-186,hotpotqa,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.6666666666666666,0.1111111111111111,,
hotpotqa-186,hotpotqa,oracle_incremental_r0.05,8192,9,64,6.222222222222222,0.6666666666666666,0.1111111111111111,,
hotpotqa-186,hotpotqa,oracle_incremental_r0.1,8192,9,64,6.222222222222222,0.6666666666666666,0.1111111111111111,,
hotpotqa-186,hotpotqa,oracle_incremental_r0.2,8192,9,64,6.222222222222222,0.6666666666666666,0.1111111111111111,,
hotpotqa-188,hotpotqa,oracle_incremental_r0.01,8192,8,64,7,0.75,0.0,,
hotpotqa-188,hotpotqa,oracle_incremental_r0.02,8192,8,64,7,0.75,0.0,,
hotpotqa-188,hotpotqa,oracle_incremental_r0.05,8192,8,64,7,0.75,0.0,,
hotpotqa-188,hotpotqa,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
hotpotqa-188,hotpotqa,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
hotpotqa-63,hotpotqa,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
hotpotqa-63,hotpotqa,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.5555555555555556,0.0,,
hotpotqa-63,hotpotqa,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
hotpotqa-63,hotpotqa,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
hotpotqa-63,hotpotqa,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
hotpotqa-93,hotpotqa,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
hotpotqa-93,hotpotqa,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
hotpotqa-93,hotpotqa,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
hotpotqa-93,hotpotqa,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
hotpotqa-93,hotpotqa,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
hotpotqa-96,hotpotqa,oracle_incremental_r0.01,8192,9,64,6.111111111111111,0.6666666666666666,0.0,,
hotpotqa-96,hotpotqa,oracle_incremental_r0.02,8192,9,64,6.111111111111111,0.6666666666666666,0.0,,
hotpotqa-96,hotpotqa,oracle_incremental_r0.05,8192,8,64,7,0.75,0.0,,
hotpotqa-96,hotpotqa,oracle_incremental_r0.1,8192,8,64,7,0.75,0.0,,
hotpotqa-96,hotpotqa,oracle_incremental_r0.2,8192,8,64,7,0.75,0.0,,
multifieldqa_en-11,multifieldqa_en,oracle_incremental_r0.01,8192,10,64,5.5,0.5,0.1,,
multifieldqa_en-11,multifieldqa_en,oracle_incremental_r0.02,8192,10,64,5.5,0.5,0.1,,
multifieldqa_en-11,multifieldqa_en,oracle_incremental_r0.05,8192,9,64,6.222222222222222,0.6666666666666666,0.1111111111111111,,
multifieldqa_en-11,multifieldqa_en,oracle_incremental_r0.1,8192,10,64,5.5,0.5,0.1,,
multifieldqa_en-11,multifieldqa_en,oracle_incremental_r0.2,8192,9,64,6.222222222222222,0.6666666666666666,0.1111111111111111,,
multifieldqa_en-114,multifieldqa_en,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
multifieldqa_en-114,multifieldqa_en,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
multifieldqa_en-114,multifieldqa_en,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
multifieldqa_en-114,multifieldqa_en,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
multifieldqa_en-114,multifieldqa_en,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
multifieldqa_en-125,multifieldqa_en,oracle_incremental_r0.01,8192,8,64,7.125,0.875,0.0,,
multifieldqa_en-125,multifieldqa_en,oracle_incremental_r0.02,8192,8,64,7.125,0.875,0.0,,
multifieldqa_en-125,multifieldqa_en,oracle_incremental_r0.05,8192,8,64,7.125,0.875,0.0,,
multifieldqa_en-125,multifieldqa_en,oracle_incremental_r0.1,8192,8,64,7.125,0.875,0.0,,
multifieldqa_en-125,multifieldqa_en,oracle_incremental_r0.2,8192,8,64,7.125,0.875,0.0,,
multifieldqa_en-18,multifieldqa_en,oracle_incremental_r0.01,8192,9,64,6.222222222222222,0.5555555555555556,0.0,,
multifieldqa_en-18,multifieldqa_en,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
multifieldqa_en-18,multifieldqa_en,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
multifieldqa_en-18,multifieldqa_en,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
multifieldqa_en-18,multifieldqa_en,oracle_incremental_r0.2,8192,9,64,6.222222222222222,0.5555555555555556,0.0,,
multifieldqa_en-27,multifieldqa_en,oracle_incremental_r0.01,8192,9,64,6.111111111111111,0.5555555555555556,0.0,,
multifieldqa_en-27,multifieldqa_en,oracle_incremental_r0.02,8192,9,64,6.111111111111111,0.4444444444444444,0.0,,
multifieldqa_en-27,multifieldqa_en,oracle_incremental_r0.05,8192,9,64,6.111111111111111,0.5555555555555556,0.0,,
multifieldqa_en-27,multifieldqa_en,oracle_incremental_r0.1,8192,9,64,6.111111111111111,0.5555555555555556,0.0,,
multifieldqa_en-27,multifieldqa_en,oracle_incremental_r0.2,8192,8,64,7,0.75,0.0,,
multifieldqa_en-37,multifieldqa_en,oracle_incremental_r0.01,8192,9,64,6.222222222222222,0.4444444444444444,0.0,,
multifieldqa_en-37,multifieldqa_en,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.4444444444444444,0.0,,
multifieldqa_en-37,multifieldqa_en,oracle_incremental_r0.05,8192,9,64,6.222222222222222,0.4444444444444444,0.0,,
multifieldqa_en-37,multifieldqa_en,oracle_incremental_r0.1,8192,9,64,6.222222222222222,0.4444444444444444,0.0,,
multifieldqa_en-37,multifieldqa_en,oracle_incremental_r0.2,8192,9,64,6.222222222222222,0.3333333333333333,0.0,,
multifieldqa_en-51,multifieldqa_en,oracle_incremental_r0.01,8192,8,64,7.125,0.625,0.0,,
multifieldqa_en-51,multifieldqa_en,oracle_incremental_r0.02,8192,8,64,7.125,0.625,0.0,,
multifieldqa_en-51,multifieldqa_en,oracle_incremental_r0.05,8192,8,64,7.125,0.625,0.0,,
multifieldqa_en-51,multifieldqa_en,oracle_incremental_r0.1,8192,8,64,7.125,0.625,0.0,,
multifieldqa_en-51,multifieldqa_en,oracle_incremental_r0.2,8192,8,64,7.125,0.625,0.0,,
multifieldqa_en-52,multifieldqa_en,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
multifieldqa_en-52,multifieldqa_en,oracle_incremental_r0.02,8192,8,64,7.125,0.625,0.0,,
multifieldqa_en-52,multifieldqa_en,oracle_incremental_r0.05,8192,8,64,7.125,0.625,0.0,,
multifieldqa_en-52,multifieldqa_en,oracle_incremental_r0.1,8192,8,64,7.125,0.625,0.0,,
multifieldqa_en-52,multifieldqa_en,oracle_incremental_r0.2,8192,8,64,7.125,0.625,0.0,,
multifieldqa_en-67,multifieldqa_en,oracle_incremental_r0.01,8192,12,64,4.416666666666667,0.4166666666666667,0.25,,
multifieldqa_en-67,multifieldqa_en,oracle_incremental_r0.02,8192,12,64,4.416666666666667,0.3333333333333333,0.25,,
multifieldqa_en-67,multifieldqa_en,oracle_incremental_r0.05,8192,12,64,4.416666666666667,0.3333333333333333,0.25,,
multifieldqa_en-67,multifieldqa_en,oracle_incremental_r0.1,8192,12,64,4.416666666666667,0.3333333333333333,0.25,,
multifieldqa_en-67,multifieldqa_en,oracle_incremental_r0.2,8192,12,64,4.416666666666667,0.4166666666666667,0.25,,
multifieldqa_en-99,multifieldqa_en,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
multifieldqa_en-99,multifieldqa_en,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
multifieldqa_en-99,multifieldqa_en,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
multifieldqa_en-99,multifieldqa_en,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
multifieldqa_en-99,multifieldqa_en,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
musique-100,musique,oracle_incremental_r0.01,8192,9,64,6.222222222222222,0.5555555555555556,0.0,,
musique-100,musique,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.5555555555555556,0.0,,
musique-100,musique,oracle_incremental_r0.05,8192,9,64,6.222222222222222,0.5555555555555556,0.0,,
musique-100,musique,oracle_incremental_r0.1,8192,9,64,6.222222222222222,0.5555555555555556,0.0,,
musique-100,musique,oracle_incremental_r0.2,8192,8,64,7,0.75,0.0,,
musique-148,musique,oracle_incremental_r0.01,8192,9,64,6.111111111111111,0.6666666666666666,0.1111111111111111,,
musique-148,musique,oracle_incremental_r0.02,8192,9,64,6.111111111111111,0.6666666666666666,0.0,,
musique-148,musique,oracle_incremental_r0.05,8192,9,64,6.111111111111111,0.6666666666666666,0.1111111111111111,,
musique-148,musique,oracle_incremental_r0.1,8192,9,64,6.111111111111111,0.6666666666666666,0.1111111111111111,,
musique-148,musique,oracle_incremental_r0.2,8192,9,64,6.111111111111111,0.6666666666666666,0.1111111111111111,,
musique-163,musique,oracle_incremental_r0.01,8192,8,64,7.125,0.875,0.0,,
musique-163,musique,oracle_incremental_r0.02,8192,8,64,7.125,0.875,0.0,,
musique-163,musique,oracle_incremental_r0.05,8192,8,64,7.125,0.875,0.0,,
musique-163,musique,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
musique-163,musique,oracle_incremental_r0.2,8192,8,64,7.125,0.875,0.0,,
musique-194,musique,oracle_incremental_r0.01,8192,9,64,6.111111111111111,0.5555555555555556,0.0,,
musique-194,musique,oracle_incremental_r0.02,8192,9,64,6.111111111111111,0.4444444444444444,0.0,,
musique-194,musique,oracle_incremental_r0.05,8192,9,64,6.111111111111111,0.5555555555555556,0.0,,
musique-194,musique,oracle_incremental_r0.1,8192,9,64,6.111111111111111,0.5555555555555556,0.0,,
musique-194,musique,oracle_incremental_r0.2,8192,9,64,6.111111111111111,0.5555555555555556,0.0,,
musique-23,musique,oracle_incremental_r0.01,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
musique-23,musique,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.5555555555555556,0.0,,
musique-23,musique,oracle_incremental_r0.05,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
musique-23,musique,oracle_incremental_r0.1,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
musique-23,musique,oracle_incremental_r0.2,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
musique-24,musique,oracle_incremental_r0.01,8192,9,64,6.222222222222222,0.5555555555555556,0.1111111111111111,,
musique-24,musique,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.5555555555555556,0.1111111111111111,,
musique-24,musique,oracle_incremental_r0.05,8192,9,64,6.222222222222222,0.4444444444444444,0.0,,
musique-24,musique,oracle_incremental_r0.1,8192,9,64,6.222222222222222,0.4444444444444444,0.0,,
musique-24,musique,oracle_incremental_r0.2,8192,9,64,6.222222222222222,0.4444444444444444,0.0,,
musique-41,musique,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
musique-41,musique,oracle_incremental_r0.02,8192,8,64,7.125,0.625,0.0,,
musique-41,musique,oracle_incremental_r0.05,8192,8,64,7.125,0.625,0.0,,
musique-41,musique,oracle_incremental_r0.1,8192,8,64,7.125,0.625,0.0,,
musique-41,musique,oracle_incremental_r0.2,8192,8,64,7.125,0.625,0.0,,
musique-74,musique,oracle_incremental_r0.01,8192,8,64,7.125,0.875,0.0,,
musique-74,musique,oracle_incremental_r0.02,8192,8,64,7.125,0.875,0.0,,
musique-74,musique,oracle_incremental_r0.05,8192,8,64,7.125,0.875,0.0,,
musique-74,musique,oracle_incremental_r0.1,8192,8,64,7.125,0.875,0.0,,
musique-74,musique,oracle_incremental_r0.2,8192,8,64,7.125,0.875,0.0,,
musique-76,musique,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
musique-76,musique,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
musique-76,musique,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
musique-76,musique,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
musique-76,musique,oracle_incremental_r0.2,8192,8,64,7.125,0.875,0.0,,
musique-85,musique,oracle_incremental_r0.01,8192,8,64,7.125,0.875,0.0,,
musique-85,musique,oracle_incremental_r0.02,8192,8,64,7.125,0.875,0.0,,
musique-85,musique,oracle_incremental_r0.05,8192,8,64,7.125,0.875,0.0,,
musique-85,musique,oracle_incremental_r0.1,8192,8,64,7.125,0.875,0.0,,
musique-85,musique,oracle_incremental_r0.2,8192,8,64,7.125,0.875,0.0,,
qasper-118,qasper,oracle_incremental_r0.01,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-118,qasper,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-118,qasper,oracle_incremental_r0.05,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-118,qasper,oracle_incremental_r0.1,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-118,qasper,oracle_incremental_r0.2,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-13,qasper,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
qasper-13,qasper,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
qasper-13,qasper,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
qasper-13,qasper,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
qasper-13,qasper,oracle_incremental_r0.2,8192,8,64,7.125,0.875,0.0,,
qasper-15,qasper,oracle_incremental_r0.01,8192,8,64,7.125,0.875,0.0,,
qasper-15,qasper,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
qasper-15,qasper,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
qasper-15,qasper,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
qasper-15,qasper,oracle_incremental_r0.2,8192,8,64,7.125,0.875,0.0,,
qasper-16,qasper,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
qasper-16,qasper,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
qasper-16,qasper,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
qasper-16,qasper,oracle_incremental_r0.1,8192,8,64,7.125,0.625,0.0,,
qasper-16,qasper,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
qasper-178,qasper,oracle_incremental_r0.01,8192,9,64,6.111111111111111,0.6666666666666666,0.0,,
qasper-178,qasper,oracle_incremental_r0.02,8192,9,64,6.111111111111111,0.6666666666666666,0.0,,
qasper-178,qasper,oracle_incremental_r0.05,8192,10,64,5.5,0.5,0.0,,
qasper-178,qasper,oracle_incremental_r0.1,8192,10,64,5.5,0.5,0.0,,
qasper-178,qasper,oracle_incremental_r0.2,8192,11,64,4.909090909090909,0.45454545454545453,0.09090909090909091,,
qasper-27,qasper,oracle_incremental_r0.01,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-27,qasper,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-27,qasper,oracle_incremental_r0.05,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-27,qasper,oracle_incremental_r0.1,8192,10,64,5.5,0.6,0.1,,
qasper-27,qasper,oracle_incremental_r0.2,8192,10,64,5.5,0.6,0.1,,
qasper-35,qasper,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
qasper-35,qasper,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
qasper-35,qasper,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
qasper-35,qasper,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
qasper-35,qasper,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
qasper-57,qasper,oracle_incremental_r0.01,8192,8,64,7.125,0.625,0.0,,
qasper-57,qasper,oracle_incremental_r0.02,8192,8,64,7.125,0.75,0.0,,
qasper-57,qasper,oracle_incremental_r0.05,8192,8,64,7.125,0.875,0.0,,
qasper-57,qasper,oracle_incremental_r0.1,8192,8,64,7.125,0.875,0.0,,
qasper-57,qasper,oracle_incremental_r0.2,8192,8,64,7.125,0.625,0.0,,
qasper-67,qasper,oracle_incremental_r0.01,8192,8,64,7.125,0.75,0.0,,
qasper-67,qasper,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-67,qasper,oracle_incremental_r0.05,8192,8,64,7.125,0.75,0.0,,
qasper-67,qasper,oracle_incremental_r0.1,8192,8,64,7.125,0.75,0.0,,
qasper-67,qasper,oracle_incremental_r0.2,8192,8,64,7.125,0.75,0.0,,
qasper-73,qasper,oracle_incremental_r0.01,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-73,qasper,oracle_incremental_r0.02,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-73,qasper,oracle_incremental_r0.05,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-73,qasper,oracle_incremental_r0.1,8192,9,64,6.222222222222222,0.6666666666666666,0.0,,
qasper-73,qasper,oracle_incremental_r0.2,8192,8,64,7.125,0.875,0.0,,
